Season,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
2017,"LAA",569,2338,9.5062,2.6573,3.5774,1.1547,0.2571,0.0719,0.1852,0.240393626,1.1968,0.2965,0.7312,3.6620334552138667,3.8667873989564066
2017,"BAL",595,2539,7.6387,3.4336,2.2247,1.2555,0.1989,0.0894,0.1095,0.253339269,1.3378,0.2871,0.7639,4.574446178213868,4.536817515509828
2017,"BOS",531,2175,9.8136,3.0339,3.2346,1,0.2662,0.0823,0.1839,0.225855901,1.1695,0.2856,0.7922,3.5286378102138674,3.772551887587639
2017,"CHW",548.1,2349,8.3872,3.9556,2.1203,1.2638,0.2175,0.1026,0.1149,0.241581259,1.3422,0.2811,0.7471,4.6184297892138675,4.641991350366075
2017,"CLE",489.1,1995,10.079,2.7405,3.6779,0.8828,0.2747,0.0747,0.2,0.224972497,1.1403,0.2923,0.7869,3.1985116142138676,3.4100887423154407
2017,"DET",528.2,2376,7.9161,4.0687,1.9456,1.5151,0.1957,0.1006,0.0951,0.282901056,1.5662,0.3213,0.6914,5.096479787213868,5.014259240740841
2017,"KCR",570.1,2468,7.9375,3.8819,2.0447,0.9468,0.2038,0.0997,0.1041,0.254361799,1.4027,0.3009,0.7094,4.144781600213867,4.414576964519038
2017,"MIN",566.1,2432,7.6598,2.9717,2.5775,1.319,0.1982,0.0769,0.1213,0.260769935,1.3349,0.2944,0.7297,4.5049028692138675,4.487355933187766
2017,"NYY",538.1,2248,10.917,3.7616,2.9022,0.8526,0.2905,0.1001,0.1904,0.20416455,1.1647,0.2717,0.7552,3.3675468662138672,3.8046315219154545
2017,"OAK",553.1,2379,8.5717,3.3181,2.5833,1.3175,0.2215,0.0858,0.1358,0.249763928,1.3247,0.2919,0.7075,4.435350383213867,4.396870243830576
2017,"SEA",569.2,2428,8.6419,3.3335,2.5924,1.2481,0.2253,0.0869,0.1384,0.243959107,1.292,0.2846,0.7284,4.277592227213868,4.454473096092028
2017,"TBR",545.2,2307,8.4282,3.3317,2.5297,0.9566,0.2215,0.0876,0.1339,0.235466536,1.2535,0.2802,0.7287,3.9035162512138672,4.301613184328368
2017,"TEX",516,2289,8.1453,3.9593,2.0573,1.2209,0.204,0.0992,0.1048,0.268025857,1.4845,0.3133,0.704,4.593685927213867,4.708897984550034
2017,"TOR",596.2,2517,9.5933,3.1978,3,1.2369,0.2527,0.0842,0.1685,0.239130434,1.2587,0.2931,0.7197,4.019091871213868,4.107699370815452
2017,"ARI",499.2,2125,8.8979,3.4043,2.6138,1.0807,0.2325,0.0889,0.1435,0.239073196,1.2869,0.2878,0.7343,3.954170502213868,4.041403267106152
2017,"ATL",527,2282,8.556,3.8425,2.2267,1.1613,0.2195,0.0986,0.1209,0.246007984,1.3624,0.2911,0.7022,4.373958479213867,4.60698384073699
2017,"CHC",559,2359,9.9821,4.2504,2.3485,1.1109,0.2628,0.1119,0.1509,0.223844282,1.2952,0.2827,0.7611,4.084294600213868,4.105707875933168
2017,"CIN",610,2659,8.7197,4.1164,2.1183,1.3131,0.2223,0.1049,0.1173,0.247944612,1.3967,0.2909,0.7283,4.665836415213867,4.451690898322669
2017,"COL",550.2,2363,8.9728,3.4812,2.5775,1.046,0.2323,0.0901,0.1422,0.251781472,1.3493,0.307,0.7094,3.9385116012138663,4.136432724397747
2017,"MIA",612,2668,8.2206,3.9853,2.0627,1,0.2095,0.1016,0.1079,0.258924731,1.4265,0.3067,0.7214,4.245874988213868,4.609302305259736
2017,"HOU",546.1,2319,10.9054,3.5088,3.108,1.2685,0.2855,0.0918,0.1936,0.234186383,1.2776,0.3027,0.7305,3.8403732342138683,3.694714253964345
2017,"LAD",559.2,2299,10.2436,2.9428,3.4809,1.1257,0.2771,0.0796,0.1975,0.221955896,1.1543,0.2813,0.7821,3.5525176442138675,3.639670594656138
2017,"MIL",572.2,2457,9.6653,4.259,2.2694,1.0844,0.2503,0.1103,0.14,0.239812646,1.3673,0.3005,0.7643,4.142505588213868,4.0981780430335935
2017,"WSN",473.2,2028,8.4553,3.1351,2.697,1.197,0.2194,0.0814,0.1381,0.254125412,1.3237,0.2995,0.7227,4.198455727213868,4.3921548113241276
2017,"NYM",569,2542,9.3638,4.2548,2.2007,1.3603,0.2329,0.1058,0.1271,0.261559383,1.4868,0.3121,0.7277,4.5759173742138675,4.580571097292673
2017,"PHI",550.2,2386,8.9728,3.612,2.4842,1.1604,0.2301,0.0926,0.1375,0.252955082,1.3729,0.3043,0.7434,4.152797199213868,4.250069593058606
2017,"PIT",546,2355,8.1593,3.5275,2.3131,1.0879,0.2102,0.0909,0.1193,0.249161475,1.3443,0.292,0.7561,4.229068265213868,4.439703880179496
2017,"STL",531,2250,8.9831,3.0678,2.9282,1.0847,0.2356,0.0804,0.1551,0.246623311,1.2693,0.2971,0.7507,3.9260014202138676,4.231750482417194
2017,"SDP",551.1,2328,9.4843,3.3301,2.848,1.6487,0.2496,0.0876,0.1619,0.238669238,1.2678,0.2786,0.7343,4.6939157602138675,4.241786570884388
2017,"SFG",493.1,2165,8.3554,4.0135,2.0818,0.8757,0.2115,0.1016,0.1099,0.257415254,1.4311,0.3095,0.7151,4.049531826213868,4.591117019041306